Sign Name,Confidence,Bounding Box
Stop,0.45,"[[246.67642211914062, 219.8616180419922, 255.96812438964844, 232.7351531982422]]"
Stop,0.89,"[[249.08595275878906, 218.74237060546875, 258.8066101074219, 232.3466339111328]]"
Stop,0.94,"[[255.02882385253906, 217.44485473632812, 265.2589416503906, 232.658203125]]"
Stop,0.93,"[[266.7265319824219, 213.3367919921875, 279.13983154296875, 233.16384887695312]]"
Speed Limit 20,0.33,"[[177.33859252929688, 224.1783447265625, 181.24185180664062, 228.40533447265625]]"
Stop,0.93,"[[266.728271484375, 213.33595275878906, 279.13873291015625, 233.1617431640625]]"
Speed Limit 20,0.33,"[[177.3282012939453, 224.18374633789062, 181.2335968017578, 228.40032958984375]]"
Stop,0.98,"[[271.7178955078125, 212.18980407714844, 285.21673583984375, 232.89617919921875]]"
Stop,0.96,"[[277.7367248535156, 210.373779296875, 291.4105224609375, 233.00389099121094]]"
Speed Limit 20,0.36,"[[176.3134307861328, 224.0900421142578, 180.45579528808594, 228.8597412109375]]"
Speed Limit 20,0.43,"[[164.01100158691406, 215.72457885742188, 172.84129333496094, 227.87057495117188]]"
Speed Limit 10,0.32,"[[164.03860473632812, 215.62997436523438, 172.8759765625, 227.97259521484375]]"
Stop,0.98,"[[285.25836181640625, 207.8687744140625, 300.0244140625, 233.82061767578125]]"
Speed Limit 20,0.34,"[[173.67922973632812, 222.54229736328125, 177.78541564941406, 228.43704223632812]]"
Speed Limit 20,0.44,"[[157.6735382080078, 213.9679412841797, 167.188232421875, 227.83213806152344]]"
Speed Limit 10,0.33,"[[157.64588928222656, 213.8440704345703, 167.30796813964844, 227.31402587890625]]"
Stop,0.98,"[[293.97760009765625, 205.49974060058594, 309.56494140625, 232.72276306152344]]"
Speed Limit 20,0.30,"[[173.01832580566406, 223.17164611816406, 176.9348602294922, 227.99722290039062]]"
Stop,0.98,"[[293.9788818359375, 205.49964904785156, 309.5650634765625, 232.72325134277344]]"
Speed Limit 20,0.30,"[[173.01980590820312, 223.1704559326172, 176.9388885498047, 227.996826171875]]"
Speed Limit 20,0.54,"[[141.85028076171875, 209.8055877685547, 153.4840087890625, 225.95037841796875]]"
Speed Limit 10,0.42,"[[141.73504638671875, 209.6360321044922, 153.38121032714844, 225.95089721679688]]"
Stop,0.98,"[[304.7650451660156, 201.9853973388672, 320.9897766113281, 233.4762420654297]]"
Speed Limit 20,0.46,"[[171.2708282470703, 223.429443359375, 176.04200744628906, 228.84181213378906]]"
Stop,0.97,"[[317.83209228515625, 198.5275421142578, 333.939453125, 232.4038848876953]]"
Stop,0.92,"[[333.6706237792969, 193.32276916503906, 349.84490966796875, 232.07275390625]]"
Speed Limit 20,0.82,"[[166.9907684326172, 222.12147521972656, 172.356201171875, 229.36891174316406]]"
Stop,0.92,"[[333.6907958984375, 193.42037963867188, 349.82781982421875, 232.084228515625]]"
Speed Limit 20,0.83,"[[166.9923858642578, 222.15159606933594, 172.3545684814453, 229.38601684570312]]"
Speed Limit 20,0.87,"[[102.4292984008789, 198.39483642578125, 118.49795532226562, 222.347412109375]]"
Speed Limit 20,0.37,"[[251.67942810058594, 216.01490783691406, 259.9910583496094, 227.4045867919922]]"
Speed Limit 10,0.33,"[[251.61883544921875, 215.95701599121094, 259.9134826660156, 227.44631958007812]]"
Stop,0.86,"[[353.98248291015625, 183.96058654785156, 368.1507568359375, 231.1720733642578]]"
Speed Limit 20,0.78,"[[165.59825134277344, 220.89620971679688, 170.7569122314453, 228.98106384277344]]"
Stop,0.86,"[[353.98748779296875, 183.94305419921875, 368.1556701660156, 231.17343139648438]]"
Speed Limit 20,0.79,"[[165.59576416015625, 220.9042205810547, 170.73728942871094, 228.94004821777344]]"
Speed Limit 20,0.70,"[[82.81172943115234, 192.19198608398438, 100.41812133789062, 219.97837829589844]]"
Speed Limit 10,0.66,"[[82.97325897216797, 192.5143280029297, 100.2788314819336, 219.987548828125]]"
Speed Limit 10,0.31,"[[252.1935272216797, 214.41799926757812, 260.921630859375, 227.5144805908203]]"
Speed Limit 20,0.85,"[[163.22137451171875, 220.5938720703125, 169.14923095703125, 228.32244873046875]]"
Speed Limit 20,0.80,"[[161.00360107421875, 219.68798828125, 166.31820678710938, 228.0972442626953]]"
Speed Limit 10,0.56,"[[59.22291946411133, 183.78085327148438, 77.87826538085938, 216.92906188964844]]"
Speed Limit 10,0.42,"[[252.7758331298828, 212.68702697753906, 262.1661376953125, 227.02484130859375]]"
Speed Limit 20,0.32,"[[252.72898864746094, 212.8807830810547, 262.13006591796875, 227.1176300048828]]"
Speed Limit 20,0.78,"[[161.04188537597656, 219.9464111328125, 166.33226013183594, 227.92164611816406]]"
Speed Limit 20,0.81,"[[158.75323486328125, 220.4939727783203, 164.1443328857422, 227.52772521972656]]"
Speed Limit 10,0.71,"[[33.53639221191406, 174.18643188476562, 52.146697998046875, 211.32371520996094]]"
Speed Limit 10,0.57,"[[256.0679626464844, 210.5325469970703, 266.33770751953125, 226.60260009765625]]"
Speed Limit 20,0.41,"[[256.1885986328125, 210.53839111328125, 266.1705017089844, 226.76458740234375]]"
Speed Limit 20,0.92,"[[154.49671936035156, 218.42506408691406, 160.744873046875, 226.91815185546875]]"
Speed Limit 20,0.86,"[[151.5195770263672, 217.7357940673828, 157.79908752441406, 226.9932098388672]]"
Speed Limit 10,0.67,"[[266.9155578613281, 205.8709716796875, 279.2028503417969, 225.59051513671875]]"
Speed Limit 20,0.64,"[[114.25196838378906, 211.49609375, 123.05743408203125, 224.56813049316406]]"
Speed Limit 20,0.75,"[[147.11685180664062, 216.01287841796875, 154.5997772216797, 227.38621520996094]]"
Speed Limit 10,0.68,"[[275.3945617675781, 201.8756561279297, 288.6370544433594, 223.99803161621094]]"
Speed Limit 20,0.62,"[[105.7169418334961, 208.90386962890625, 115.4941177368164, 223.6833038330078]]"
Speed Limit 20,0.59,"[[275.3585205078125, 201.99049377441406, 288.6477355957031, 224.28485107421875]]"
Speed Limit 20,0.34,"[[220.17904663085938, 217.80303955078125, 227.59422302246094, 228.31431579589844]]"
Speed Limit 20,0.31,"[[134.7681427001953, 218.92709350585938, 140.67787170410156, 227.51515197753906]]"
Speed Limit 20,0.80,"[[142.08926391601562, 215.33851623535156, 149.48678588867188, 226.8350830078125]]"
Speed Limit 10,0.68,"[[286.77099609375, 196.8170928955078, 301.06378173828125, 222.7490997314453]]"
Speed Limit 20,0.54,"[[96.30928802490234, 207.27061462402344, 107.1781234741211, 222.86529541015625]]"
Speed Limit 10,0.29,"[[96.18464660644531, 207.21070861816406, 107.35564422607422, 223.0199432373047]]"
Speed Limit 10,0.28,"[[221.10745239257812, 216.9015655517578, 229.396728515625, 228.11399841308594]]"
Speed Limit 20,0.27,"[[221.08287048339844, 216.6379852294922, 229.5135955810547, 228.11026000976562]]"
Speed Limit 10,0.76,"[[301.9843444824219, 191.03492736816406, 317.07281494140625, 220.6033477783203]]"
Speed Limit 20,0.63,"[[85.8450698852539, 204.3819122314453, 97.54280853271484, 221.8600311279297]]"
Speed Limit 10,0.56,"[[222.72500610351562, 215.55714416503906, 231.8101806640625, 227.94383239746094]]"
Speed Limit 20,0.56,"[[222.6055145263672, 215.5606231689453, 231.94744873046875, 228.09376525878906]]"
Speed Limit 20,0.76,"[[136.98934936523438, 213.57781982421875, 144.85504150390625, 226.66839599609375]]"
Speed Limit 20,0.84,"[[74.72342681884766, 200.65545654296875, 86.5020751953125, 220.15724182128906]]"
Speed Limit 10,0.80,"[[323.41790771484375, 180.8732452392578, 338.4403381347656, 218.03504943847656]]"
Speed Limit 10,0.41,"[[224.92596435546875, 213.62493896484375, 234.9701385498047, 228.3917236328125]]"
Speed Limit 20,0.41,"[[225.03929138183594, 213.55043029785156, 235.042724609375, 227.74530029296875]]"
Speed Limit 20,0.27,"[[123.05429077148438, 216.5974578857422, 130.1446990966797, 226.6082763671875]]"
Speed Limit 20,0.81,"[[232.03591918945312, 209.5995635986328, 243.973876953125, 226.81076049804688]]"
Speed Limit 20,0.74,"[[47.91117477416992, 192.08209228515625, 60.05299377441406, 215.80821228027344]]"
Speed Limit 10,0.63,"[[232.21177673339844, 209.50534057617188, 244.04833984375, 226.87728881835938]]"
Speed Limit 20,0.43,"[[114.94654846191406, 214.64869689941406, 122.00532531738281, 224.9258575439453]]"
Speed Limit 20,0.76,"[[114.84368133544922, 207.48068237304688, 124.5757064819336, 224.043701171875]]"
Speed Limit 20,0.75,"[[104.44210052490234, 204.27883911132812, 114.9341812133789, 223.14129638671875]]"
Speed Limit 20,0.75,"[[104.4322738647461, 204.27447509765625, 114.95601654052734, 223.0945281982422]]"
Speed Limit 20,0.83,"[[32.18630599975586, 186.83099365234375, 44.31639862060547, 213.054443359375]]"
Speed Limit 20,0.77,"[[237.2816619873047, 206.8368682861328, 251.0460662841797, 226.69662475585938]]"
Speed Limit 10,0.69,"[[237.34521484375, 206.87693786621094, 250.9898223876953, 226.68614196777344]]"
Speed Limit 20,0.45,"[[110.2551498413086, 213.18678283691406, 118.0268783569336, 224.4275360107422]]"
Speed Limit 20,0.73,"[[92.77506256103516, 200.4300994873047, 102.93955993652344, 221.8076629638672]]"
Speed Limit 20,0.51,"[[100.0264663696289, 210.13392639160156, 108.90862274169922, 223.41798400878906]]"
Speed Limit 20,0.50,"[[253.6779327392578, 197.8387908935547, 271.7299499511719, 224.6088409423828]]"
Speed Limit 10,0.34,"[[253.78817749023438, 198.10792541503906, 271.45855712890625, 224.435791015625]]"
Speed Limit 20,0.74,"[[78.67870330810547, 196.0283966064453, 88.74120330810547, 219.31214904785156]]"
Speed Limit 20,0.57,"[[61.313655853271484, 189.72650146484375, 71.26966094970703, 217.05360412597656]]"
Speed Limit 20,0.64,"[[61.25382995605469, 189.81124877929688, 71.2046127319336, 217.06640625]]"
Speed Limit 20,0.48,"[[266.5284729003906, 191.4776153564453, 287.40386962890625, 222.7425994873047]]"
Speed Limit 20,0.41,"[[94.23609161376953, 208.1586151123047, 103.46709442138672, 222.84751892089844]]"
Speed Limit 20,0.54,"[[285.5740966796875, 180.35845947265625, 309.67926025390625, 219.8524169921875]]"
Speed Limit 20,0.41,"[[87.90373229980469, 206.59584045410156, 97.6268310546875, 221.91224670410156]]"
Speed Limit 20,0.34,"[[80.76042938232422, 204.29225158691406, 91.26287078857422, 220.70166015625]]"
Speed Limit 20,0.33,"[[314.9521789550781, 163.49107360839844, 341.2660217285156, 214.70315551757812]]"
Speed Limit 30,0.29,"[[62.68458557128906, 198.0133056640625, 73.49414825439453, 218.67080688476562]]"
Speed Limit 30,0.28,"[[36.01607894897461, 189.82582092285156, 46.04850769042969, 214.10964965820312]]"
Speed Limit 30,0.44,"[[240.97799682617188, 209.1604461669922, 254.0800323486328, 227.0135040283203]]"
Speed Limit 30,0.42,"[[246.1810302734375, 206.07647705078125, 260.6720886230469, 226.32327270507812]]"
Speed Limit 30,0.42,"[[252.61390686035156, 201.9661865234375, 269.2810974121094, 225.28359985351562]]"
Speed Limit 20,0.27,"[[252.53048706054688, 202.0335235595703, 269.05657958984375, 225.37408447265625]]"
Speed Limit 30,0.40,"[[260.50396728515625, 196.69456481933594, 279.55413818359375, 224.3885498046875]]"
Speed Limit 20,0.29,"[[260.8097839355469, 196.79562377929688, 279.27716064453125, 224.58642578125]]"
Speed Limit 30,0.44,"[[271.35662841796875, 189.8599395751953, 293.858642578125, 222.02462768554688]]"
Speed Limit 40,0.33,"[[271.49041748046875, 189.97657775878906, 294.1014709472656, 222.586669921875]]"
Speed Limit 30,0.31,"[[120.28205108642578, 213.3573760986328, 128.39126586914062, 225.1003875732422]]"
Speed Limit 30,0.64,"[[288.4607238769531, 179.06057739257812, 313.7061462402344, 219.39334106445312]]"
Speed Limit 40,0.33,"[[113.09284973144531, 211.29225158691406, 122.21609497070312, 224.36334228515625]]"
Speed Limit 30,0.27,"[[113.24562072753906, 211.09429931640625, 122.23758697509766, 224.4364013671875]]"
Speed Limit 30,0.80,"[[314.63641357421875, 162.4457244873047, 341.42474365234375, 214.31544494628906]]"
Speed Limit 40,0.51,"[[105.50403594970703, 209.52752685546875, 114.67540740966797, 223.77439880371094]]"
Speed Limit 40,0.64,"[[96.23633575439453, 207.48492431640625, 105.73641967773438, 222.87734985351562]]"
Speed Limit 40,0.40,"[[229.56956481933594, 216.3518524169922, 238.4237518310547, 228.1949005126953]]"
Speed Limit 40,0.61,"[[60.509578704833984, 196.93258666992188, 71.439208984375, 218.37606811523438]]"
Speed Limit 40,0.60,"[[236.34010314941406, 211.6798858642578, 247.7680206298828, 227.43255615234375]]"
Speed Limit 40,0.80,"[[239.49484252929688, 209.93821716308594, 252.1845245361328, 227.02035522460938]]"
Speed Limit 40,0.47,"[[45.79864501953125, 192.46597290039062, 55.98551559448242, 215.30206298828125]]"
Green Light,0.30,"[[177.87013244628906, 199.70880126953125, 181.7092742919922, 202.5948486328125]]"
Speed Limit 40,0.74,"[[255.52125549316406, 199.11605834960938, 273.94769287109375, 224.68771362304688]]"
Speed Limit 30,0.41,"[[255.5259246826172, 199.08709716796875, 274.07672119140625, 224.66941833496094]]"
Green Light,0.56,"[[177.46571350097656, 199.50758361816406, 181.56895446777344, 202.3866424560547]]"
Speed Limit 40,0.63,"[[265.333251953125, 192.27638244628906, 286.91107177734375, 223.25222778320312]]"
Speed Limit 50,0.30,"[[279.5697937011719, 182.94894409179688, 304.12591552734375, 220.63755798339844]]"
Speed Limit 40,0.74,"[[301.1555480957031, 169.7430877685547, 328.7509460449219, 216.6080780029297]]"
Speed Limit 30,0.26,"[[217.47515869140625, 215.3795623779297, 226.77293395996094, 227.44253540039062]]"
Speed Limit 30,0.39,"[[204.020751953125, 211.1085662841797, 215.5733642578125, 227.5903778076172]]"
Speed Limit 40,0.31,"[[203.8990478515625, 211.20809936523438, 215.606201171875, 227.64186096191406]]"
Green Light,0.38,"[[161.7300262451172, 183.69570922851562, 166.5617218017578, 186.98178100585938]]"
Speed Limit 50,0.45,"[[187.93154907226562, 209.16050720214844, 201.56797790527344, 226.766845703125]]"
Speed Limit 50,0.26,"[[166.25747680664062, 205.68203735351562, 180.5328369140625, 226.3859405517578]]"
Speed Limit 10,0.27,"[[68.95618438720703, 182.3858184814453, 87.61859893798828, 216.9910125732422]]"
Green Light,0.71,"[[150.08616638183594, 172.11900329589844, 156.87493896484375, 175.99266052246094]]"
Green Light,0.72,"[[150.1070556640625, 172.15184020996094, 156.91140747070312, 176.05088806152344]]"
Green Light,0.36,"[[145.28851318359375, 167.6664276123047, 153.3920440673828, 171.75662231445312]]"
Green Light,0.36,"[[145.2814483642578, 167.65769958496094, 153.38807678222656, 171.7531280517578]]"
Green Light,0.32,"[[143.6232147216797, 165.0707550048828, 151.25552368164062, 169.57925415039062]]"
Green Light,0.33,"[[141.38792419433594, 162.7558135986328, 149.5313720703125, 167.10775756835938]]"
Green Light,0.30,"[[138.27452087402344, 159.78366088867188, 146.71925354003906, 164.70150756835938]]"
Green Light,0.27,"[[130.35430908203125, 149.876708984375, 137.71279907226562, 155.1515350341797]]"
Speed Limit 70,0.36,"[[155.50205993652344, 215.058349609375, 164.07461547851562, 227.2283935546875]]"
Green Light,0.56,"[[126.9652328491211, 145.6276092529297, 135.03372192382812, 151.77003479003906]]"
Green Light,0.50,"[[119.8477554321289, 136.8165283203125, 127.05291748046875, 144.10289001464844]]"
Speed Limit 70,0.43,"[[137.82086181640625, 209.1032257080078, 149.83753967285156, 226.01377868652344]]"
Speed Limit 50,0.26,"[[137.85098266601562, 209.1800994873047, 149.80548095703125, 225.46438598632812]]"
Green Light,0.44,"[[119.01869201660156, 137.04931640625, 126.82142639160156, 144.1667022705078]]"
Speed Limit 50,0.29,"[[129.673828125, 206.5843048095703, 142.73699951171875, 224.70127868652344]]"
Speed Limit 70,0.29,"[[129.6483154296875, 206.3108673095703, 143.0102081298828, 224.99472045898438]]"
Speed Limit 60,0.27,"[[119.72373962402344, 202.8502655029297, 134.2779998779297, 223.807373046875]]"
Speed Limit 30,0.25,"[[130.98944091796875, 222.12380981445312, 133.93759155273438, 226.88185119628906]]"
Speed Limit 60,0.31,"[[106.76438903808594, 198.3003387451172, 122.9306411743164, 222.04351806640625]]"
Speed Limit 30,0.29,"[[125.73067474365234, 222.04977416992188, 128.99722290039062, 227.04966735839844]]"
Green Light,0.28,"[[100.2658920288086, 114.84780883789062, 110.3581314086914, 122.16725158691406]]"
Speed Limit 30,0.41,"[[98.91715240478516, 217.710205078125, 102.91967010498047, 225.00723266601562]]"
Speed Limit 30,0.40,"[[94.51142120361328, 217.10491943359375, 98.58283233642578, 224.4069366455078]]"
